Response ID,pid_ra,partner_ID,pid,sim_self,sim_other,dissim_self,dissim_other,social_desirability,age,sex,race,college_year
R_3p4jXimWapI8JuF,65556,65531,73,5,5,4,4,19,20,2,6,3
R_3kjpiG7jbhpMb1S,65324,63479,74,4,5,5,4,22,19,1,2,2
R_3JCKWli1kkKM1CU,51082,59814,75,6,6,4,3,20,21,1,6,4
R_3dKYDJzgmE5zmPI,58654,60218,76,4,4,4,4,16,20,1,3,3
R_szMrTWCRUWwrYJP,63479,65324,77,5,4,6,3,16,19,2,6,2
R_3D2yGLDzm48WlqW,51504,60098,78,5,5,5,5,17,21,2,2,4
R_UgYGL6hrc5XIoN3,59834,59924,79,6,5,4,4,22,20,1,3,3
R_UVJlaJc3MgAGnDP,60082,57082,80,6,4,6,5,24,20,1,6,3
R_3nUkH4bz4dt7z9X,59814,51082,81,6,6,6,6,16,19,1,4,3
R_TjiPZgPcUcQTbKp,65531,65556,82,6,4,4,3,17,19,2,8,2
R_XzSqTxsKLoFa1Tr,60163,53675,83,7,7,7,7,17,20,2,2,3
R_2zD9bauUg2Q8WbP,51374,45115,84,5,5,6,4,15,21,2,2,4
R_wUe6wp6HUsULvc5,51544,66613,85,6,5,7,5,21,21,2,4,4
R_qx5AeFJZL4gSvER,65115,51374,86,4,3,4,3,16,19,2,6,2
R_3KNsRUKvp5rv2La,66613,51544,87,5,6,3,2,16,19,1,6,2
R_2Ecv5Bq0jFhui1L,53675,60163,88,5,5,4,4,16,21,2,2,4
R_1M0P37rC9zm1LvE,51845,65192,89,5,5,5,4,14,21,2,2,4
R_1jk9JFSbBm399eS,60257,66643,90,2,3,2,2,19,20,2,3,3
R_Ok8UPvfoNrcfhFn,65192,51845,91,6,6,4,4,18,19,2,2,2
R_6G2113MKJUvlYNr,52429,53457,92,3,3,3,3,17,21,2,2,4
R_3ehuQaaXq9vSQUC,53657,52429,93,7,7,5,5,16,21,2,2,4
R_1feFQvlPwUmvhOB,66643,60287,94,5,6,5,4,21,19,2,2,1
R_x94UzvnYDtDywLf,66621,65256,95,7,5,5,5,15,20,1,2,3
R_vwBfKbHvSDXNCHD,65256,66671,96,7,6,6,5,18,21,2,4,3
R_1lmmOjP4KySxUmk,51122,65534,97,6,4,5,5,16,22,2,2,4
R_YaFaQxigiOY3nxL,65534,51122,98,5,4,5,3,22,18,2,6,1
R_3qQlz6PPVdFOeBz,51983,66639,99,6,5,6,5,20,22,2,6,4
R_xyl3WmR2h2ndkNX,66639,51983,100,6,6,4,5,20,18,2,3,1
R_1gIqpYtOSdT1UDt,52243,66781,101,6,6,6,6,21,21,2,6,4
R_Xh41Ou8IXW7mNTr,60126,51405,102,6,6,6,6,19,20,2,6,3
R_3NQIkgOVglqgRH5,59858,52180,103,4,4,4,4,15,21,2,2,4
R_3pouYVz102M5mOH,64766,65093,104,6,6,6,6,24,21,1,6,4
R_3Jwwefaj6W3Dydv,51405,60126,105,4,4,4,4,21,21,2,6,4
